"","married-slope_2022","married-slope_2023","married-acc_2022","married-acc_2023","married-steady_slope","married-val_2022","unmarried-slope_2022","unmarried-slope_2023","unmarried-acc_2022","unmarried-acc_2023","unmarried-steady_slope","unmarried-val_2022"
"Desha County, Arkansas",-153.025,-153.025,0.0,0.0,1.0,5121.0,-86.98810601164223,-100.59088558501026,-13.602779573367748,-13.602779573367748,0.0,2015.0
"Deuel County, Nebraska",-14.214285714285717,-14.214285714285717,0.0,0.0,1.0,1114.0,"","","","","",347.0
"Deuel County, South Dakota",-37.01422253809869,-49.83327195327729,-11.77235509595721,-13.865743733908857,1.0,3035.0,"","","","","",684.0
"Dewey County, Oklahoma","","","","","",3074.0,"","","","","",624.0
"Dewey County, South Dakota",-210.91982332617044,-321.47003699839115,-101.74622926226584,-119.35419809119048,0.0,2458.0,"","","","","",621.0
"Dickens County, Texas",-76.17092760181913,-85.99882029735818,-9.827892695539925,-9.827892695539925,0.0,971.0,-55.19035158958286,-74.02642319630831,-17.740357678820146,-19.93178553206326,0.0,260.0
"Dickenson County, Virginia",-127.6714285714286,-127.6714285714286,0.0,0.0,1.0,8760.0,-92.46345129981637,-143.05155193433166,-46.27003879341282,-54.90616247428625,0.0,1972.0
"Dickey County, North Dakota",-29.00357142857143,-29.00357142857143,0.0,0.0,1.0,3310.0,-11.528571428571428,-11.528571428571428,0.0,0.0,1.0,810.0
"Dickinson County, Iowa","","","","","",11208.0,71.93928571428573,71.93928571428573,0.0,0.0,1.0,4094.0
"Dickinson County, Kansas",-74.93571428571428,-74.93571428571428,0.0,0.0,1.0,12322.0,-16.054799612156785,-24.735956690372404,-8.681157078215675,-8.681157078215675,0.0,3111.0
"Dickinson County, Michigan",-165.63928571428573,-165.63928571428573,0.0,0.0,1.0,16535.0,62.73928571428571,62.73928571428571,0.0,0.0,1.0,4781.0
"Dickson County, Tennessee",196.5464285714285,196.5464285714285,0.0,0.0,1.0,34559.0,186.42499999999995,186.42499999999995,0.0,0.0,1.0,8187.0
"Dillingham Census Area, Alaska",-51.72499999999999,-51.72499999999999,0.0,0.0,1.0,2213.0,-12.985714285714286,-12.985714285714286,0.0,0.0,1.0,458.0
"Dillon County, South Carolina",-868.8095507433754,-979.245071105368,-110.43552036199114,-110.43552036199114,0.0,11463.0,"","","","","",4111.0
"Dimmit County, Texas",-158.27142857142857,-158.27142857142857,0.0,0.0,1.0,3892.0,-129.40350678733375,-151.46540077569807,-22.061893988364897,-22.061893988364897,0.0,829.0
"Dinwiddie County, Virginia",600.5747340917587,807.0080189853907,192.24418233009783,220.62238745861396,0.0,17194.0,58.36785714285715,58.36785714285715,0.0,0.0,1.0,4005.0
"District of Columbia, District of Columbia",5834.42857142857,5834.42857142857,0.0,0.0,1.0,238803.0,3555.4428571428575,3555.4428571428575,0.0,0.0,1.0,234833.0
"Divide County, North Dakota",-49.693519715579896,-59.69303490627135,-9.999515190691824,-9.999515190691824,0.0,1523.0,"","","","","",310.0
"Dixie County, Florida","","","","","",9675.0,-7.343452710658312,49.82321397587657,50.68552038280541,63.64781299253082,0.0,2318.0
"Dixon County, Nebraska",-64.40357142857144,-64.40357142857144,0.0,0.0,1.0,3520.0,"","","","","",830.0
"Do?a Ana County, New Mexico",1518.999999999999,1518.999999999999,0.0,0.0,1.0,1.0,354.9999999999999,354.9999999999999,0.0,0.0,1.0,1.0
"Doddridge County, West Virginia",-311.6601422801614,-450.97989197820425,-130.2862529674603,-148.35324643246713,0.0,4684.0,"","","","","",900.0
"Dodge County, Georgia",-377.8835972850793,-429.5088396897336,-51.62524240465548,-51.62524240465548,0.0,9378.0,-37.50357142857143,-37.50357142857143,0.0,0.0,1.0,2766.0
"Dodge County, Minnesota",167.23700711054698,191.99912734325335,24.7621202327083,24.7621202327083,0.0,14847.0,41.62142857142856,41.62142857142856,0.0,0.0,1.0,2729.0
"Dodge County, Nebraska","","","","","",22860.0,52.43214285714285,52.43214285714285,0.0,0.0,1.0,6581.0
"Dodge County, Wisconsin",-280.1428571428572,-280.1428571428572,0.0,0.0,1.0,54142.0,323.25357142857143,323.25357142857143,0.0,0.0,1.0,16201.0
"Dolores County, Colorado",127.98463154492492,148.04814156432258,20.063510019392243,20.063510019392243,0.0,1474.0,-14.062378797671045,-18.08468002585414,-4.022301228183603,-4.022301228183603,0.0,402.0
"Doniphan County, Kansas",-66.63689398836868,-72.28411441500066,-5.64722042663239,-5.64722042663239,0.0,4607.0,-125.21205370128155,-173.03330272622406,-44.53065073684593,-51.11184731857793,0.0,993.0
"Donley County, Texas",-32.07142857142858,-32.07142857142858,0.0,0.0,1.0,1861.0,-6.042937944409459,-8.349499030381594,-2.3065610859727403,-2.3065610859727403,0.0,563.0
"Dooly County, Georgia",-653.7755332902598,-750.2916936005349,-96.51616031027882,-96.51616031027882,0.0,4551.0,-120.2189722042749,-136.99951519069873,-16.780542986425846,-16.780542986425846,0.0,1477.0
"Door County, Wisconsin","","","","","",19505.0,648.4876089245081,923.2138892412186,255.3448072009196,294.107753407181,0.0,6063.0
"Dorado Municipio, Puerto Rico",-212.3678571428571,-212.3678571428571,0.0,0.0,1.0,18866.0,90.90357142857142,90.90357142857142,0.0,0.0,1.0,4431.0
"Dorchester County, Maryland",-144.88214285714284,-144.88214285714284,0.0,0.0,1.0,16414.0,61.50000000000001,61.50000000000001,0.0,0.0,1.0,5710.0
"Dorchester County, South Carolina",1653.3321428571433,1653.3321428571433,0.0,0.0,1.0,100432.0,677.7714285714285,677.7714285714285,0.0,0.0,1.0,22019.0
"Dougherty County, Georgia",-801.8249999999999,-801.8249999999999,0.0,0.0,1.0,29253.0,130.35714285714286,130.35714285714286,0.0,0.0,1.0,16711.0
