"","married-slope_2022","married-slope_2023","married-acc_2022","married-acc_2023","married-steady_slope","married-val_2022","unmarried-slope_2022","unmarried-slope_2023","unmarried-acc_2022","unmarried-acc_2023","unmarried-steady_slope","unmarried-val_2022"
"Franklin County, Kansas",-87771477674591.0,-87814885922699.11,-43408248108.106384,-43408248108.106384,1.0,17997.0,0.0,0.0,0.0,0.0,0.0,3544.0
"Franklin County, Kentucky","","","","","",26512.0,0.0,0.0,0.0,0.0,0.0,10693.0
"Franklin County, Maine",-45734566.652882986,-45734566.652882986,0.0,0.0,1.0,17124.0,0.0,0.0,0.0,0.0,0.0,6645.0
"Franklin County, Massachusetts",-16233261.022231031,-16233261.022231031,0.0,0.0,1.0,38288.0,0.0,0.0,0.0,0.0,0.0,16347.0
"Franklin County, Mississippi",-24282158.42106678,-24282158.42106678,0.0,0.0,1.0,4476.0,"","","","","",875.0
"Franklin County, Missouri",-99339858491882.6,-99388987996576.89,-49129504694.30431,-49129504694.30431,1.0,67508.0,0.0,0.0,0.0,0.0,0.0,15954.0
"Franklin County, Nebraska",-4852015.255390251,-4852015.255390251,0.0,0.0,1.0,1910.0,-6712529472814.527,-6715849220328.284,-3319747513.7559915,-3319747513.7559915,1.0,531.0
"Franklin County, New York",-136781463757338.17,-136849110376407.1,-67646619068.91149,-67646619068.91149,1.0,25094.0,0.0,0.0,0.0,0.0,0.0,8887.0
"Franklin County, North Carolina",0.0,0.0,0.0,0.0,0.0,43214.0,0.0,0.0,0.0,0.0,0.0,8517.0
"Franklin County, Ohio",0.0,0.0,0.0,0.0,0.0,664784.0,0.0,0.0,0.0,0.0,0.0,301962.0
"Franklin County, Pennsylvania",0.0,0.0,0.0,0.0,0.0,104477.0,0.0,0.0,0.0,0.0,0.0,23215.0
"Franklin County, Tennessee","","","","","",25470.0,0.0,0.0,0.0,0.0,0.0,7106.0
"Franklin County, Texas",0.0,0.0,0.0,0.0,0.0,6848.0,0.0,0.0,0.0,0.0,0.0,1361.0
"Franklin County, Vermont",0.0,0.0,0.0,0.0,0.0,31233.0,0.0,0.0,0.0,0.0,0.0,8366.0
"Franklin County, Virginia",-235912949.8391152,-235912949.8391152,0.0,0.0,1.0,34761.0,0.0,0.0,0.0,0.0,0.0,8125.0
"Franklin County, Washington",0.0,0.0,0.0,0.0,0.0,57123.0,0.0,0.0,0.0,0.0,0.0,7544.0
"Franklin Parish, Louisiana","","","","","",10404.0,-29026496.014221895,-29026496.014221895,0.0,0.0,1.0,2366.0
"Franklin city, Virginia",0.0,0.0,0.0,0.0,0.0,4526.0,0.0,0.0,0.0,0.0,0.0,1389.0
"Frederick County, Maryland",0.0,0.0,0.0,0.0,0.0,186347.0,0.0,0.0,0.0,0.0,0.0,35304.0
"Frederick County, Virginia",0.0,0.0,0.0,0.0,0.0,60681.0,0.0,0.0,0.0,0.0,0.0,11579.0
"Fredericksburg city, Virginia",0.0,0.0,0.0,0.0,0.0,12741.0,0.0,0.0,0.0,0.0,0.0,6958.0
"Freeborn County, Minnesota","","","","","",17635.0,0.0,0.0,0.0,0.0,0.0,5767.0
"Freestone County, Texas",-67666997981430.96,-67700463361243.74,-33465379812.775097,-33465379812.775097,1.0,12012.0,-22695407744629.07,-22706631981891.5,-11224237262.428156,-11224237262.428156,1.0,2764.0
"Fremont County, Colorado",0.0,0.0,0.0,0.0,0.0,25404.0,0.0,0.0,0.0,0.0,0.0,8053.0
"Fremont County, Idaho",-106779539543807.25,-106832348415985.2,-52808872177.94636,-52808872177.94636,1.0,10196.0,-31652571960376.066,-31668226051355.48,-15654090979.414686,-15654090979.414686,1.0,1051.0
"Fremont County, Iowa",-691384487662.4551,-691726418665.256,-341931002.80086666,-341931002.80086666,1.0,4425.0,0.0,0.0,0.0,0.0,0.0,1235.0
"Fremont County, Wyoming",-73327572.82411222,-73327572.82411222,0.0,0.0,1.0,21849.0,0.0,0.0,0.0,0.0,0.0,6605.0
"Fresno County, California",0.0,0.0,0.0,0.0,0.0,566320.0,0.0,0.0,0.0,0.0,0.0,118250.0
"Frio County, Texas",-92482254.8762558,-92482254.8762558,0.0,0.0,1.0,8403.0,0.0,0.0,0.0,0.0,0.0,1575.0
"Frontier County, Nebraska","","","","","",1634.0,-757008.739421399,-757008.739421399,0.0,0.0,1.0,439.0
"Fulton County, Arkansas",-27009800.63301156,-27009800.63301156,0.0,0.0,1.0,7781.0,0.0,0.0,0.0,0.0,0.0,2239.0
"Fulton County, Georgia",0.0,0.0,0.0,0.0,0.0,499135.0,0.0,0.0,0.0,0.0,0.0,264602.0
"Fulton County, Illinois",-132854993031614.6,-132920697775942.8,-65704744328.197586,-65704744328.197586,1.0,18516.0,0.0,0.0,0.0,0.0,0.0,6244.0
"Fulton County, Indiana",-38432188.51172722,-38432188.51172722,0.0,0.0,1.0,12887.0,0.0,0.0,0.0,0.0,0.0,2912.0
"Fulton County, Kentucky",-5064599.358312762,-5064599.358312762,0.0,0.0,1.0,2770.0,0.0,0.0,0.0,0.0,0.0,1229.0
"Fulton County, New York",-54107626.606277406,-54107626.606277406,0.0,0.0,1.0,28264.0,0.0,0.0,0.0,0.0,0.0,9996.0
"Fulton County, Ohio",-239059299263074.88,-239177528392285.1,-118229129210.22531,-118229129210.22531,1.0,29215.0,0.0,0.0,0.0,0.0,0.0,6326.0
"Fulton County, Pennsylvania",-27708014535039.93,-27721717806323.332,-13703271283.402977,-13703271283.402977,1.0,9732.0,0.0,0.0,0.0,0.0,0.0,2262.0
"Furnas County, Nebraska",-10119425692619.984,-10124430354189.035,-5004661569.05052,-5004661569.05052,1.0,3313.0,-8195936.796951441,-8195936.796951441,0.0,0.0,1.0,767.0
"Gadsden County, Florida",-101809920.83349288,-101809920.83349288,0.0,0.0,1.0,19541.0,-17151412.58641225,-17151412.58641225,0.0,0.0,1.0,6044.0
"Gage County, Nebraska",-34619587.399845004,-34619587.399845004,0.0,0.0,1.0,13089.0,0.0,0.0,0.0,0.0,0.0,4459.0
"Gaines County, Texas",0.0,0.0,0.0,0.0,0.0,17397.0,0.0,0.0,0.0,0.0,0.0,1929.0
"Galax city, Virginia",0.0,0.0,0.0,0.0,0.0,3920.0,-17933488077111.055,-17942357260136.332,-8869183025.277924,-8869183025.277924,1.0,1095.0
"Gallatin County, Illinois",-17381180764175.902,-17389776798183.902,-8596034008.000378,-8596034008.000378,1.0,3004.0,"","","","","",846.0
"Gallatin County, Kentucky",0.0,0.0,0.0,0.0,0.0,5426.0,"","","","","",1182.0
"Gallatin County, Montana",0.0,0.0,0.0,0.0,0.0,67807.0,0.0,0.0,0.0,0.0,0.0,33507.0
"Gallia County, Ohio",-4085423549174.6167,-4087444035598.5415,-2020486423.924552,-2020486423.924552,1.0,19304.0,0.0,0.0,0.0,0.0,0.0,4231.0
"Galveston County, Texas",0.0,0.0,0.0,0.0,0.0,224973.0,0.0,0.0,0.0,0.0,0.0,52711.0
"Garden County, Nebraska",-28610969.21778369,-28610969.21778369,0.0,0.0,1.0,1087.0,0.0,0.0,0.0,0.0,0.0,389.0
"Garfield County, Colorado",0.0,0.0,0.0,0.0,0.0,40495.0,0.0,0.0,0.0,0.0,0.0,9899.0
"Garfield County, Montana",-9995076.327869317,-9995076.327869317,0.0,0.0,1.0,736.0,-246125292817.4619,-246247016503.3266,-121723685.86469083,-121723685.86469083,1.0,174.0
"Garfield County, Nebraska","","","","","",1403.0,-7085753.767387278,-7085753.767387278,0.0,0.0,1.0,258.0
"Garfield County, Oklahoma",0.0,0.0,0.0,0.0,0.0,36982.0,0.0,0.0,0.0,0.0,0.0,10200.0
"Garfield County, Utah",-23867528802946.992,-23879332724214.523,-11803921267.531038,-11803921267.531038,1.0,3413.0,-23061113675788.293,-23072518776518.16,-11405100729.865639,-11405100729.865639,1.0,660.0
"Garfield County, Washington",0.0,0.0,0.0,0.0,0.0,1786.0,0.0,0.0,0.0,0.0,0.0,328.0
"Garland County, Arkansas",-2950697257715.802,-2952156554084.603,-1459296368.8012311,-1459296368.8012311,1.0,54009.0,0.0,0.0,0.0,0.0,0.0,18595.0
"Garrard County, Kentucky",-15596574.682051301,-15596574.682051301,0.0,0.0,1.0,11298.0,0.0,0.0,0.0,0.0,0.0,2294.0
"Garrett County, Maryland",-35293118.93401449,-35293118.93401449,0.0,0.0,1.0,18528.0,0.0,0.0,0.0,0.0,0.0,4534.0
"Garvin County, Oklahoma",-127865137.17553267,-127865137.17553267,0.0,0.0,1.0,14895.0,0.0,0.0,0.0,0.0,0.0,4227.0
"Garza County, Texas",0.0,0.0,0.0,0.0,0.0,3018.0,0.0,0.0,0.0,0.0,0.0,602.0
"Gasconade County, Missouri",-16029422.070567615,-16029422.070567615,0.0,0.0,1.0,9539.0,-16839291044505.545,-16847619081619.545,-8328037113.998986,-8328037113.998986,1.0,2500.0
"Gaston County, North Carolina",0.0,0.0,0.0,0.0,0.0,130982.0,0.0,0.0,0.0,0.0,0.0,37905.0
"Gates County, North Carolina",-60817039.80334784,-60817039.80334784,0.0,0.0,1.0,6558.0,0.0,0.0,0.0,0.0,0.0,1805.0
"Geary County, Kansas",0.0,0.0,0.0,0.0,0.0,22228.0,0.0,0.0,0.0,0.0,0.0,4993.0
"Geauga County, Ohio",0.0,0.0,0.0,0.0,0.0,73298.0,0.0,0.0,0.0,0.0,0.0,11690.0
"Gem County, Idaho",0.0,0.0,0.0,0.0,0.0,12893.0,-20170176.71190787,-20170176.71190787,0.0,0.0,1.0,2161.0
